Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
3.9,-3.447345018,-0.772926092,-3.173143864
3.905,-3.683720589,-0.755151749,-3.267859221
3.91,-3.821385384,-0.713113546,-3.406639099
3.915,-3.950068712,-0.842761755,-3.597940683
3.92,-3.970161915,-0.943045139,-3.8334167
3.925,-3.987526417,-0.86812377,-3.994729519
3.93,-3.945186138,-0.890604496,-4.204866886
3.935,-3.893593788,-0.854809999,-4.251914501
3.94,-3.808810949,-0.829885483,-4.191428661
3.945,-3.642861366,-0.808688641,-4.026023865
3.95,-3.584488869,-0.757645845,-3.748328686
3.955,-3.413209915,-0.695884466,-3.319457769
3.96,-3.30573988,-0.661717176,-2.994244337
3.965,-3.139341354,-0.583283424,-2.563234806
3.97,-2.963502645,-0.558595657,-2.245459795
3.975,-2.717669487,-0.542273521,-1.932079077
3.98,-2.520539761,-0.606190205,-1.610415936
3.985,-2.392737389,-0.602255106,-1.334462643
3.99,-2.1635921,-0.583546638,-1.050944328
3.995,-2.050339699,-0.603112936,-0.785666466
4,-2.011980295,-0.589472532,-0.655474663
4.005,-1.950238705,-0.607480764,-0.439885616
4.01,-1.903382063,-0.535390377,-0.344526768
4.015,-1.864269733,-0.581416845,-0.318972111
4.02,-1.880771637,-0.554050922,-0.339300632
4.025,-1.938636303,-0.539493084,-0.341302395
4.03,-1.942224979,-0.585591555,-0.323039055
4.035,-1.884653091,-0.550987244,-0.306408405
4.04,-1.823210478,-0.514639854,-0.293953896
4.045,-1.707537889,-0.407003403,-0.321666718
4.05,-1.587510824,-0.328341961,-0.348911762
4.055,-1.501296997,-0.283213139,-0.385359287
4.06,-1.441605806,-0.292843342,-0.452633381
4.065,-1.367831945,-0.3118186,-0.450357437
4.07,-1.339967012,-0.280217648,-0.512787342
4.075,-1.307878017,-0.329733372,-0.48929739
4.08,-1.295689821,-0.290641308,-0.430220604
4.085,-1.25579834,-0.203697205,-0.397646904
4.09,-1.200381756,-0.073515892,-0.331367493
4.095,-1.105746746,0.049806118,-0.279078007
4.1,-1.034264088,0.094949245,-0.324096203
4.105,-0.997932196,0.165019989,-0.373054028
4.11,-0.912997246,0.135685444,-0.454895496
4.115,-0.832104683,0.12173748,-0.476761818
4.12,-0.704868555,0.017681122,-0.539439201
4.125,-0.612411022,-0.006909847,-0.497272015
4.13,-0.480312824,-0.016891003,-0.472443581
4.135,-0.353628159,0.008970737,-0.512858868
4.14,-0.237022638,-0.065901756,-0.5324049
4.145,-0.249672413,-0.07445097,-0.533587933
4.15,-0.199951172,-0.076569557,-0.533171177
4.155,-0.186043262,-0.06528616,-0.545516968
4.16,-0.234072924,-0.095740318,-0.570541859
4.165,-0.303595066,-0.10571003,-0.429254532
4.17,-0.339799643,-0.117002487,-0.229300499
4.175,-0.39538002,-0.151236534,-0.073255062
4.18,-0.307605028,-0.129723549,0.055954933
4.185,-0.236759424,-0.090729237,0.204130173
4.19,-0.110924959,-0.003032207,0.30950737
4.195,-0.095046759,0.073947906,0.463418007
4.2,0.012076855,0.166889668,0.548883438
4.205,0.059563637,0.168752193,0.55415678
